W,W,W,W,W
S,S,S,S,S
H4,H4,H4,H4,H4
H3,H3,H3,H3,H3
H2,H2,H2,H2,H2
H1,H1,H1,H1,H1
W,S,W,S,W
S,W,S,W,S
H4,W,H4,W,H4
H3,S,H3,S,H3
W,H4,W,H4,W
S,H3,S,H3,S
H4,S,H4,S,H4
H3,W,H3,W,H3
W,H2,W,H2,W
S,H1,S,H1,S
H4,H2,H4,H2,H4
H3,H1,H3,H1,H3
W,L5,W,L5,W
S,L5,S,L5,S
H4,L5,H4,L5,H4
H3,L5,H3,L5,H3
W,L4,W,L4,W
S,L4,S,L4,S
H4,L4,H4,L4,H4
H3,L4,H3,L4,H3
W,L3,W,L3,W
S,L3,S,L3,S
H4,L3,H4,L3,H4
H3,L3,H3,L3,H3
W,L2,W,L2,W
S,L2,S,L2,S
H4,L2,H4,L2,H4
H3,L2,H3,L2,H3
W,L1,W,L1,W
S,L1,S,L1,S
H4,L1,H4,L1,H4
H3,L1,H3,L1,H3
W,W,S,S,W
S,S,W,W,S
H4,H4,S,S,H4
H3,H3,W,W,H3
W,W,H4,H4,W
S,S,H3,H3,S
H4,H4,H2,H2,H4
H3,H3,H1,H1,H3
W,W,L5,L5,W
S,S,L5,L5,S
H4,H4,L5,L5,H4
H3,H3,L5,L5,H3
W,W,L4,L4,W
S,S,L4,L4,S
H4,H4,L4,L4,H4
H3,H3,L4,L4,H3
W,W,L3,L3,W
S,S,L3,L3,S
H4,H4,L3,L3,H4
H3,H3,L3,L3,H3
W,W,L2,L2,W
S,S,L2,L2,S
H4,H4,L2,L2,H4
H3,H3,L2,L2,H3
W,W,L1,L1,W
S,S,L1,L1,S
H4,H4,L1,L1,H4
H3,H3,L1,L1,H3
